address,name,type,comment
0xd000d7d1,MON_cru_permit_flags,LABEL,"#208 monitor's private cru-permit bitfield (referenced only in 800f006c/027c). bit7 = MON_cru_permit_floor_flag (15/7). The L2 half of the L1/L2 speed-control plausibility; feeds the d00148be latch, not the ACC control path directly."
0xd000dc78,MON_speed_above17_flag,LABEL,#208 companion band: SET when veh_speed_MON_128 > C_VS_MON_speed17_SET (0x8038980a=17); CLEARED below 17 - C_VS_MON_speed17_bandwidth2(0x80389808=2) = 15. -> d000d7de. SECONDARY arming window (not the operative floor).
0xd000d7de,MON_speed_17band_state,LABEL,Latched output of MON_speed_above17_flag (17/15). Secondary arming window for other #208 sub-checks; also read by #213 (800f4abe).
0x80389809,C_VS_MON_CRU_permit_SET_15,LABEL,"cal #208 +0x11d, u8 km/h = 15. *** THE operative ACC min-speed lever -- the SET/ARM edge. *** EGAS_L2_cru_speed_monitor_A:737 veh_speed_MON_128 > 15*128 -> permit bit7=1 -> the engaged-latch ARMS. The 15/7 floor block runs ONLY while the latch=0 (:728); once armed it holds until ACC-off. The permit memory dc87 is persistent (never reset); with dc87=0 (fresh key-on below 15, or after dropping below 7) the latch never arms and the ACC command is withheld below 15. Set cal=0 -> dc87 arms at any speed>0. Set WITH CLR_7 (7->0, so dc87 never clears) for a re-engage-robust fix. Recompute cal checksum."
0x8038980e,C_VS_MON_CRU_permit_CLR_7,LABEL,"cal #208 +0x122, u8 km/h = 7. RE-ARM / memory-clear edge -- LIVE. 800f006c:742 `speed < 7*128` clears dc87 (MON_cru_permit_floor_flag), a PERSISTENT hysteretic memory (SET at 15, CLEAR at 7, written only in the floor block, reset nowhere). dc87 holds across latch/ACC cycles, so once =1 you can drop and RE-ENGAGE ACC down to 7; below 7 (un-latched) dc87 clears -> must exceed 15 to re-arm. The floor block runs only while un-latched (arming phase), so this edge is live on every (re-)engagement. Set cal=0 -> dc87 never clears. Set with SET_15."
0x8038980a,C_VS_MON_speed17_SET,LABEL,"cal #208 +0x11e, u8 km/h = 17. SET edge of the secondary 17/15 band (MON_speed_above17_flag). Clear = 17 - 0x80389808(2) = 15. SECONDARY (arms other sub-checks), not the operative floor. Move with the primary floor for L1/L2 consistency if needed."
0x80389808,C_VS_MON_speed17_bandwidth2,LABEL,"cal #208 +0x11c, u8 km/h = 2. Hysteresis BAND WIDTH (subtracted) for the 17-band -> clear edge 15. Relative band, leave stock."
0x800f4abe,EGAS_L2_ACC_longsetpoint_band_213,FUNCTION,"ACC-relevant (indirect) EGAS-L2 monitor of the ACC/GRA longitudinal setpoint (cal #213 @0x8038a3c8). Bounds MON_acc_long_setpoint (d000d5aa) inside speed/dwell-dependent accel/torque rails (d000d832/d834); debounced sub-faults FEED #208 (d000d829/d82a/d842 -> 800f006c) and the aggregator (d83c/d/e -> FUN_800d9936 -> d344 -> aa23 -> 0x8031 ACC/DCC ctrl). GENUINE speed edges: 0x8038a4ec(=0, moving/standstill) and 0x8038a4ed(=25, sub-check enable). The cells 0x8038a4d7/d8/d9(=16/18/16) and 0x8038a4ee(=12) are torque/accel RAIL coefficients + hysteresis, NOT speed floors.."
0x800f5d68,EGAS_L2_cru_lowspeed_crawl_215,FUNCTION,"ACC-relevant (indirect) EGAS-L2 cruise/ACC low-speed CRAWL monitor (cal #215 @0x8038a568). Fault severity d000d857 -> cruise fault-reaction manager 800dca9c (can force fault/off via d000d3fc) + aggregator 800d9936. Two-stage state machine d000d858/d859 (cases 0-3). Its crawl trip runs ONLY in the failsafe branch (when internal signal 0x3fc is STALE - runs at startup/on-message-loss, NOT proven dead). Speed cells 0x8038a5c9/ca(=6)/cd(=5) are crawl ARMING windows, 0x8038a5c6(=20) an upper counter-reset bound, 0x8038a5cb(=0) DISABLES a d859 transition. Not an ACC engage floor.."
0x800d9936,EGAS_L2_fault_aggregator,FUNCTION,"THE EGAS-Level-2 monitor DTC/fault aggregator. AND-masks ~8-15 monitor result bytes (from 800f25e2/800f40bc/800f5d68/800f5982/800f4abe/...) with cal enables into fault dwords d000d32c/d334/d338, computes overall verdict d000d344 (0-3 severity) -> d000aa23 (read by the 0x8031 ACC/DCC controller) = the EGAS-3 torque-limitation/limp reaction. Terminal sink for all L2 monitors."
0xd000d344,EGAS_L2_fault_verdict,LABEL,Overall EGAS-L2 fault verdict/severity (0-3) from EGAS_L2_fault_aggregator. Copied to EGAS_L2_reaction_level (d000aa23) via FUN_802c51c2; drives the engine torque-limitation/limp reaction.
0xd000aa23,EGAS_L2_reaction_level,LABEL,"= EGAS_L2_fault_verdict (d000d344). Read by the 0x8031 ACC/DCC controller functions (80312f70/803147dc/80315a54, mirrored to d000abed) - the ACC-facing effect of a confirmed L2 monitor fault (torque limp)."
0x800f25e2,EGAS_L2_torque_monitor_209_NOTACC,FUNCTION,"NOT an ACC monitor - general engine-torque EGAS-L2 plausibility (Momentenueberwachung), cal #209 @0x80389868. Compares model vs permitted torque, debounces faults into d000deea/deeb -> packed df0a-0d -> EGAS_L2_fault_aggregator. Speed cells 0x8038a205/206/207 (8/5/0) are torque-check low-speed windows; 0x8038a202-204 (255/255/254) DISABLE their speed gates. No ACC coupling."
0x800f5982,EGAS_L2_torque_monitor_214_NOTACC,FUNCTION,"NOT an ACC monitor - general EGAS-L2 torque-vs-speed plausibility, cal #214 @0x8038a514. 0x8038a551(=10) is a low-speed SUPPRESSION term for a torque check, not an ACC floor. Latches a held verdict d000d846 -> EGAS_L2_fault_aggregator. No ACC coupling."
0x800df26a,EGAS_L2_torque_plaus_seq_173_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 sequential torque-plausibility, cal #173 @0x80385c4c. Its 0x8038679b(=15) is the LOWER BOUND of a torque-window [15,105] arming a corridor check on MON_acc_long_setpoint - a numerical coincidence, NOT the C_VS_MIN_CRU_MON floor. All state volatile, no non-volatile latch, no ACC var referenced. Do NOT edit for openpilot."
0x800f40bc,EGAS_L2_channel_plaus_211_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 redundant channel/pedal plausibility voting, cal #211 @0x8038a25a. 0x8038a3a4(=255) is a de-facto DISABLED 255 km/h over-speed ceiling; other speed uses are axis/threshold selects. Packs df2d/2e/2f -> EGAS_L2_fault_aggregator. No ACC coupling."
0x800fb796,EGAS_L2_torque_coordinator_NOTACC,FUNCTION,NOT an ACC monitor - EGAS-L2 permitted-vs-actual longitudinal torque check. Enabled only in a 25-130 km/h driving window (the opposite of a low-speed floor). Sets monitor result d000e036. No ACC coupling.
0x800e0a66,EGAS_L2_accel_torque_model_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 longitudinal accel/torque MODEL. Vehicle speed is a MAP AXIS input, not a floor. Contains the MONITOR twin of the +/-500000 decel rail (the monitor's own authority, not the functional one). Outputs d000d5xx monitor group."
0x800f9520,EGAS_L2_roadload_model_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 road-load/driving-resistance model: v^2 aero drag + v rolling + accel terms -> resistance shadows d000dfe2/e8 (feeds EGAS_L2_torque_coordinator 800fb796). Speed used as physical model axis, not a threshold."
0x800e759e,EGAS_L2_step_dtc_manager_193_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 operating-step sequencer + DTC manager, cal #193 @0x80387f5c. 0x80387fbc(=6) gates only the internal step-active flag d000d6f7 in coast-state (SUPPRESSES the sequencer at low speed). No ACC var referenced."
0x800d5828,EGAS_L2_torque_plaus_148_NOTACC,FUNCTION,"NOT an ACC monitor - EGAS-L2 monitor-domain torque plausibility, cal #148 @0x8038436a. PROVABLY produces no low-speed fault: double-gated (subsystem-state d3cd in {3,8} + operating-point>=80, then hysteresis d000d867 SET>12 / CLEAR<5 via 0x80384761=5 low-edge + 0x80384760=7 band-width) -> self-disables below ~12 km/h. Outputs feed only telemetry+getter. No ACC coupling."
0x800accac,ACC_master_state_machine,FUNCTION,"ACC/GRA master state machine. Transition table @0x80044772 (134 entries): a3c1 (ACC_master_mode, out_idx 0x1b) = a DIRECT COPY of cond[0x1c] = the 2-bit commanded mode. NO engine-side speed floor gates engagement; it relays the commanded ACC mode (openpilot via ACC_01)."
0x800aba88,statemachine_unpack_cond_vector,FUNCTION,Unpacks the 10-byte packed ACC condition vector into 50 condition slots (1-3 bits each). cond[0x1c]=byte5[5:6]=the 2-bit ACC mode -> ACC_master_mode.
0x800aca8c,statemachine_confirm_transition,FUNCTION,Transition-confirm layer over ACC_cond_vec_current (d0009b63) vs _new (d0009b70) via descriptor 0x8003f374. Event-driven; no speed compare.
0x800ad364,statemachine_load_cond_vec_coding,FUNCTION,"Loads the ACC engage-condition vector from the CODING data store, not from an event mailbox. FUN_8008ebbc(&UNK_d0009b48,&d000b9ad,0xe,0,0x34) reads a 52-byte record from store class 0xe (a coding/config store: sibling reads use records 0x14/0x16/0x1b/0x33 with sizes 1-10 and each has a flash fallback). The other branch copies the flash coding default DAT_803def94 into ACC_cond_vec_current/_new. So a3c1 (ACC master mode) is CODING-determined, not event-driven; there is no runtime condition-event producer to find. FUN_8008ebbc posts a request into the 8-slot service ring at d0006a10 and spins on FUN_8008f464 until serviced -- it is a synchronous store read, not an async mailbox."
0xd0009b63,ACC_cond_vec_current,LABEL,Current packed ACC engage-condition vector (10 bytes). byte5[5:6] = commanded ACC mode -> ACC_master_mode.
0xd0009b70,ACC_cond_vec_new,LABEL,Candidate/new packed ACC engage-condition vector; confirmed into ACC_cond_vec_current.
0xd000a3c1,ACC_master_mode,LABEL,"ACC/GRA master mode: 0=inactive,1=GRA,2=ACC,3=ACC-extended = direct copy of engage condition slot 0x1c. Feeds d000a454 via FUN_802c806e. No engine-side speed floor gates this."
0xd000a590,ACC_status_rx,LABEL,"RX-side ACC status index, unpacked by FUN_800b1136 from ACC_01 (0x109) bit 60 len 3 = ACC_Status_ACC. PROVEN from the COM signal-descriptor table (record @0x80038ad8, desc 0x0000033c), not inferred; corroborated by on-car CAN where openpilot's commanded status maps 1:1 through tbl[] to TSK_04. A second descriptor @0x80038a60 binds the same byte from bit 57 len 3 (platform variant). -> a368 via FUN_800b0e94."
0xd000a368,ACC_state_a368,LABEL,"ACC state enum (0=off 1=engaged 2=engaged+override 3=fault). Sole writer FUN_800b0e94: a368 = tbl[ACC_status_rx], tbl_A@0x8004579a=[0,0,2,1,1,0,2,3] (selectors 0x55/0x73), tbl_B@0x800457a2=[0,0,0,1,2,0,0,3] (selectors 0x2a/0x56); selector 0x29 uses d000a5a4 directly. Copied to ab01 by FUN_801455ae."
0xd000ab01,TSK04_status_ab01,LABEL,"Source shadow for TSK_04 (0x10E) TSK_Status_GRA_ACC_02 (62|2). = ACC_state_a368, forced to 3 when the present-gate word is nonzero, and forced to 0 by the FUN_801455ae suppressor (ab01 in {1,2} AND d0000121 bit5, zero debounce -- cal #251 +0xc/+0xe are both 0). Case 0 rails the request outputs: d0005f20 = d0005d00 = -500000. *** INCOMPLETE. *** This describes only FUN_801455ae's LONG branch, which is DEAD CODE on this calibration: 0x801455b6/bc test cal_obj(a9+0x3ec)=0x803b5230 bytes [0x21] and [0x24], both 0, so the SHORT branch is taken unconditionally and 0x801455e4/ee does d000ab01 = d000a350. TSK_04's status is a direct copy of d0004936."
0xd000a6c3,GE_Waehlhebel_rx,LABEL,"Gear SELECTOR LEVER position, from Getriebe_03 (0x102) bit 44 len 4 = GE_Waehlhebel. PROVEN: COM descriptor record @0x80039c08 (desc 0x42c) sits in the Getriebe_03 PDU group @0x80039be0 (75% DBC geometry match), and the on-car log shows the P->R->N->D sequence 5->6->7->8 at drive start and the reverse at drive end. NOT a cruise state -- an earlier label (cru_state_rx) was wrong. Read only by FUN_80087a70."
0xd000a89a,gear_sel_state,LABEL,"Mapped gear-selector state = tbl[GE_Waehlhebel_rx] (FUN_80087a70, sole writer). tbl@0x800453b4 = identity[0..14] when (d0008c80 & 0x610)==0 && (d0008c80 & 0x1000)==0, else tbl@0x80045395 = [0,0,0,0,0,8,7,6,5,12,17,0,0,14,14]. States {6,8} = selector in R or D (FUN_80087a70 computes that same test at its tail). Shadowed to d0009f76 for the L2 monitor."
0xd0009f76,gear_sel_state_MON,LABEL,"L2-monitor shadow copy of gear_sel_state (802c4942:155 / 802c4ee8:28). Classified by FUN_8010295e(cal#208+0x49,+0x36,.) whose LUT @0x80389735 is an IDENTITY map over 0..17, so monitor state == gear_sel_state. Feeds d7ed = debounce(state==6) and d7f1 = debounce(state==8) -- i.e. selector in R / in D."
0xd000dc8b,MON_cru_active_permit,LABEL,"#208 suppression term holding d7f9 low during normal engaged driving. With cfg word cal#208+0x148 = 0x1bf3 (@0x80389834) collapsing terms 1-2 to always-true: dc8b = cru_acc_active_flag(a113) && d000d240<=8 && d000a0a9 && (gear_sel_state == 6 || == 8), i.e. GEAR SELECTOR IN R OR D. Copied to d7f6 one cycle later. NOTE: the selector was constant at D across the whole on-car log, so this term cannot explain the ~15 km/h ACC drop."
0xd000d7f9,MON_cru_floor_fault,LABEL,"#208's output into the EGAS-L2 fault aggregator (written 800f006c:728, read 800d9936:71). Set when d240==8 AND the d00148bf counter < cal#208+0xec AND MON_cru_permit_flags bit7 is CLEAR (below the 15 km/h floor / unarmed) AND d7f6==0. This is the path by which the min-speed monitor reaches the ACC command: d7f9 -> aggregator -> EGAS_L2_fault_verdict -> EGAS_L2_reaction_level -> the 0x8031 ACC/DCC controller."
0xd00084aa,ACC_Sollbeschleunigung_rx,LABEL,"ACC_01 (0x109) bit 24 len 11 = ACC_Sollbeschleunigung -- the COMMANDED ACCEL entry point into the ECU. PROVEN from the COM signal-descriptor table: record @0x80038ba0 (desc 0x0003_0b18) inside the contiguous ACC_01 RX group @0x80038ad8..0x80038bc8 (stride 0x28, descending bit order). Written by the RX unpacker FUN_800b1136 and by the timeout-substitution setter FUN_8008b17c. -> d000830a."
0xd00084ae,ACC_zul_Regelabw_unten_rx,LABEL,"ACC_01 (0x109) bit 16 len 6 = ACC_zul_Regelabw_unten. COM descriptor record @0x80038bc8, ACC_01 RX group. -> d000830c via FUN_800b1136."
0xd00084b0,ACC_zul_Regelabw_oben_rx,LABEL,"ACC_01 (0x109) bit 35 len 5 = ACC_zul_Regelabw_oben. COM descriptor record @0x80038b78, ACC_01 RX group. -> d000830e via FUN_800b1136."
0xd00084be,ACC_neg_Sollbeschl_Grad_rx,LABEL,"ACC_01 (0x109) bit 40 len 8 = ACC_neg_Sollbeschl_Grad (negative jerk limit). COM descriptor record @0x80038b50. -> d0008310 via FUN_800b1136, with a '< 4 -> use default' floor."
0xd00084c0,ACC_pos_Sollbeschl_Grad_rx,LABEL,"ACC_01 (0x109) bit 48 len 8 = ACC_pos_Sollbeschl_Grad (positive jerk limit). COM descriptor record @0x80038b28. -> d0008312 via FUN_800b1136, with a '< 4 -> use default' floor."
0xd000a595,ACC_Dynamik_rx,LABEL,"ACC_01 (0x109) bit 58 len 2 = ACC_Dynamik. COM descriptor record @0x80038b00, ACC_01 RX group. Read by FUN_800b0e94."
0xd000830a,ACC_cmd_accel,LABEL,"The commanded accel inside the ECU = ACC_Sollbeschleunigung after RX unpack (FUN_800b1136 selector 0x55). Validity is gated there: d00001af bit6 SET iff ACC_status_rx in {3,4}, else d0000159 bit2 (substitute). Sole reader FUN_80140922, which copies it UNCLAMPED to d00082ae."
0xd00082ae,TSK_cmd_accel_shadow,LABEL,"Commanded accel handed to the TSK path: FUN_80140922 (gated d000a454==2) copies d000830a here with NO clamp. Read by FUN_801418ea, which clamps it into a speed-indexed envelope -> d00082c4."
0xd00082c4,TSK_accel_clamped,LABEL,"Commanded accel after the FUN_801418ea envelope clamp: d00082c4 = max(limit_B, min(limit_A, d00082ae)) where BOTH limits are speed-indexed curve lookups over cal #247 (0x803b4834). MEASURED FLAT on this image: lower -3.0 m/s^2, upper +2.0 m/s^2 at every speed -- i.e. no speed-dependent accel limiting. -> d00082b6 (TSK_04) and d00082c0 (TSK_02)."
0xd00082b6,TSK_ax_Getriebe_tx,LABEL,"TSK_04 (0x10E) bit 18 len 9 = TSK_ax_Getriebe. COM descriptor record @0x80039258, inside the contiguous TSK_04 group @0x80039190+k*0x28. Sole writer FUN_8014469a: substituted with cal 0x803b508a (=0, packs to wire raw 84 = +0.000 m/s^2) whenever the bVar11 gate is false. Matches the on-car neutral exactly."
0xd00082ce,TSK_zul_Regelabw_tx,LABEL,"TSK_04 (0x10E) bit 12 len 6 = TSK_zul_Regelabw. COM descriptor record @0x80039280. Written by FUN_80140922 from d000830c via func_0xc0000926(x,1000,10000)."
0xd00082fc,TSK_Wunsch_Uebersetz_tx,LABEL,"TSK_04 (0x10E) bit 27 len 10 = TSK_Wunsch_Uebersetz (gear-ratio request). COM descriptor record @0x80039230, TSK_04 group."
0xd0008d5a,TSK_Verzoeg_Anf_tx,LABEL,"TSK_02 (0x10C) bit 56 len 8 = TSK_Verzoeg_Anf -- the DECEL REQUEST the engine sends to ESP. COM descriptor record @0x800392f8 (TSK_02 group with TSK_Status 16|2 and TSK_Radbremsmom 40|12). Written by FUN_801405d4: 'uVar8 = 0; if (bVar1) uVar8 = d00082c0;' -- a HARD ZERO when the gate is false, which is the measured wire raw 166 = 0.000 m/s^2. bVar1 = (a362 in {1,5}) chain, i.e. ACC actively regulating."
0xd0005de0,TSK_Radbremsmom_tx,LABEL,"TSK_02 (0x10C) bit 40 len 12 = TSK_Radbremsmom (wheel-brake torque request). COM descriptor record @0x80039320, TSK_02 group."
0xd00085e4,TSK_amax_moeglich_tx,LABEL,"TSK_01 (0x10A) bit 48 len 9 = TSK_amax_moeglich. COM descriptor record @0x80039d48. Stays LIVE below the ACC floor on-car (99 distinct values, 0.000..6.072 m/s^2, tracking speed) -- the engine keeps publishing capability while withholding the request."
0xd000a6c7,ACC_lowspeed_flag_15kmh,LABEL,"*** THE 15 km/h CONDITION. *** Populated from INTERNAL message 0x466 (handle @0x800284b6, the only copy in the image; read via the COM receive in FUN_800a5db0). Drives d000015f bit 7 (that bit has no other writer) -> d00000e0 bit 7 -> d0004985 -> debounce(cal 0x8010384c+0x5e) -> d000f82a bit 7 -> TSK_01 (0x10A) FRAME BIT 23, which on-car is SET 0..15.28 km/h, CLEAR above, transitions at 15.08/14.90/15.38/14.88 km/h and LEADS the ACC drop by one 20 ms frame. PRODUCER NOT IN THE DISASSEMBLY: its only writers are the circular per-context shadow pair with d000ab6a; no block copy covers it; not a COM descriptor target; a 649-function guarded gap-walk added no writer. DOUBLE-CONFIRMED NEGATIVE: a linear constant-propagation scan of the EFFECTIVE ADDRESS of every memory access in all 5918 functions (core/ghidra/FindEffectiveAddr.java, which closes FindRefsTo's blind spot for base+displacement stores that leave no reference on the target byte) also finds ONLY the three circular shadow writers. Caveat: that scan seeds a0/a1/a8/a9 from ecu.conf, so a producer whose base register comes from a runtime table resolves as INDEXED rather than as a hit -- the negative is 'no resolvable-EA writer', not an absolute one. ADDRESSING FORM (this is why no literal exists): a6c7 is reached as `lea aX,[a0]-0x1d59` with a0 = 0xd000c420 (the global data base from ecu.conf BASEREGS); 0xd000c420-0x1d59 = 0xd000a6c7. Known encoding: bytes d9 <(base<<4)|dest> 27 ae. A raw-image scan for ANY 32-bit instruction carrying displacement bytes 27 ae returns 9 hits: the 6 known [a0] sites, one FALSE POSITIVE at 0x80101866 (base a15=0xd0010000 -> targets d000e2a7, not a6c7), and 2 in the 0x8002xxxx constant-pool region that are data, not code. So NO undisassembled code accesses a6c7 via this form -- a third independent method agreeing with the reference-model and effective-address scans. RESIDUAL GAP: a store through a base pointing NEAR a6c7 with a non-zero store offset (e.g. lea to a6a0 then st.b [aX]0x27) would carry a DIFFERENT displacement and evade this byte scan in undisassembled code; FindEffectiveAddr covers that case but only for disassembled functions. FIFTH AND SIXTH ELIMINATIONS: (5) a0 is formed exactly ONCE in the whole image (0x800829d6 = 0xd000c420, per analysis/basereg.log) so the [a0]-relative addressing assumption behind every scan is sound -- there is no second context with a different a0. (6) The a6xx bitmap setter FUN_800a048c(base, bitIndex, val) writes base + (bitIndex>>3); all 66 call sites use base &DAT_d000a64d with max index 0x95 (byte offset 18), so it cannot reach a6c7 (which would need index 0x3D0-0x3D7). CONCLUSION: five independent methods agree NOTHING writes a6c7 except the circular context save/restore. Since the observable DOES toggle at 15 km/h, the most probable explanation is now that the chain's WEAKEST LINK IS WRONG -- see TSK01_StatusAB_byte2: the f82a-bit7 -> TSK_01 frame-bit-23 step is tagged [I] (inferred by elimination, not from a descriptor). If that attribution is wrong then a6c7 is simply a static/config byte and the real 15 km/h flag is a different variable. Settle it by decoding the CANbedded TX packing for 0x10A (FUN_800be052 slot engine), which is identified but NOT yet decoded. *** CORRECTED. *** The 'no producer by five independent methods' finding is right as a STATIC-WRITER negative but wrong as a conclusion: the producer is the COM boolean unpacker via descriptor 0x800347ac, the same pointer pattern as ab42. Its '-> TSK_01 frame bit 23' claim is wrong. And the name ACC_lowspeed_flag_15kmh is MISLEADING -- the source is ESP_05 frame bit 36 = ESP_HDC_Standby (hill-descent), not a 15 km/h flag. The same misnaming affects 0xd0004985 and 0x800a5db0."
0xd000ab6a,ACC_lowspeed_flag_shadow,LABEL,Per-context shadow partner of ACC_lowspeed_flag_15kmh. FUN_80316b2a does ab6a = a6c7; FUN_80317ea8/8031896c/80319250 do a6c7 = ab6a. Circular -- neither originates the value.
0xd0004985,ACC_lowspeed_flag_copy,LABEL,"= d00000e0 >> 7 (FUN_8014469a:89), i.e. the 15 km/h flag after two bit-mirrors. Debounced with cal *(PTR_DAT_8010384c + 0x5e) * 10000 and packed into d000f82a bit 7."
0xd000f828,TSK01_StatusAB_byte0,LABEL,"TSK_01 (0x10A) TSK_Status_AB byte. Sole writer FUN_8014469a:388 via the 8-bool packer FUN_80143a68 (LSB-first: arg1->bit0 .. arg8->bit7), masked by cal +0x35. Its arg8 is literally 0, so bit 7 can never be set from this call -- which is why frame bit 23 must come from d000f82a instead. [C] *** CORRECTED: this is NOT TSK_Status_AB. *** The COM descriptor for TSK_01 TSK_Status_AB (16|24) targets the single word d0005e34 (record @0x80039460, VERIFIED: the literal 0xd0005e34 occurs exactly once in the image, at 0x80039478 = that record's +0x18). The f82x bytes have NO descriptor binding at all, so they are not transmitted signals. acc_flow.md carries the same error."
0xd000f829,TSK01_StatusAB_byte1,LABEL,"TSK_01 (0x10A) TSK_Status_AB byte. Sole writer FUN_8014469a:436, packer masked by cal +0x37, and simultaneously = d00049c9 (the ACC ABORT REQUEST read by FUN_80143b26). So the engine broadcasts its own abort reasons. Its bit 0 (= d00049aa) is SET only at standstill on-car, so it is NOT the 15 km/h cause. *** CORRECTED: this is NOT TSK_Status_AB. *** The COM descriptor for TSK_01 TSK_Status_AB (16|24) targets the single word d0005e34 (record @0x80039460, VERIFIED: the literal 0xd0005e34 occurs exactly once in the image, at 0x80039478 = that record's +0x18). The f82x bytes have NO descriptor binding at all, so they are not transmitted signals. acc_flow.md carries the same error."
